title,price,location,bedrooms,bathrooms,surface_total,surface_useful,url,description
Parque De Córdova Iii,10770.0,"El Ciruelillo 3830, Parque Bicentenario, Vitacura",2.5,2.5,,102.0,https://portalinmobiliario.com/MLC-1519768335-parque-de-cordova-iii-_JM#polycard_client=search-nordic&search_layout=grid&position=30&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Parque Arboleda Lo Curro Et.2,17194.0,"Vía Aurora 9255, Lo Curro, Vitacura",2.5,3.5,,176.5,https://portalinmobiliario.com/MLC-1444074451-parque-arboleda-lo-curro-et2-_JM#polycard_client=search-nordic&search_layout=grid&position=31&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Edificio Arguello 7677,10880.0,"Fernando De Arguello 7677, Santiago, Vitacura, Villa El Dorado, Vitacura",2.5,2.5,,95.5,https://portalinmobiliario.com/MLC-3245961244-edificio-arguello-7677-_JM#polycard_client=search-nordic&search_layout=grid&position=32&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Smart Jónico,10700.0,"Mar Jónico 7650, Vitacura, Estadio Croata, Vitacura",3.0,3.0,,93.5,https://portalinmobiliario.com/MLC-2921843826-smart-jonico-_JM#polycard_client=search-nordic&search_layout=grid&position=33&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
"Oportunidad Tasa Fija De 2,95% Posibilidad De Novación.",8950.0,"Arqto Larraín Bravo, Estadio Manquehue, Vitacura",2.0,2.0,,105.0,https://portalinmobiliario.com/MLC-1587361627-oportunidad-tasa-fija-de-295-posibilidad-de-novacion-_JM#polycard_client=search-nordic&search_layout=grid&position=34&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Moderno Departamento Tres Dormitorios En Suite,13700.0,"LAS HUALTATAS - TAMARUGO, Pío XI, Vitacura",3.0,3.0,,128.0,https://portalinmobiliario.com/MLC-2898673184-moderno-departamento-tres-dormitorios-en-suite-_JM#polycard_client=search-nordic&search_layout=grid&position=35&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Sport Frances,14200.0,"SPORT FRANCES, Estadio Croata, Vitacura",3.0,3.0,,126.0,https://portalinmobiliario.com/MLC-2898789340-sport-frances-_JM#polycard_client=search-nordic&search_layout=grid&position=36&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Departamento Remodelado Clinica Alemana,9800.0,"AV VIRTACURA - JUAN XXIII, Juan XXIII, Vitacura",2.0,2.0,,119.0,https://portalinmobiliario.com/MLC-1657639745-departamento-remodelado-clinica-alemana-_JM#polycard_client=search-nordic&search_layout=grid&position=37&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Tabancura - San Damiam,11900.0,"TABANCURA - SAN DAMIAN, Tabancura, Vitacura",3.0,3.0,,112.0,https://portalinmobiliario.com/MLC-2898698554-tabancura-san-damiam-_JM#polycard_client=search-nordic&search_layout=grid&position=38&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Departamento Remodelado Juan Xxiii,9900.0,"Juan XXIII, Juan XXIII, Vitacura",3.0,3.0,,120.0,https://portalinmobiliario.com/MLC-1544093801-departamento-remodelado-juan-xxiii-_JM#polycard_client=search-nordic&search_layout=grid&position=39&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
